Time(us),Reading
15823097,1445.20
15834098,1324.73
15845097,1223.57
15857098,1111.62
15868097,1001.42
15879098,893.99
15890097,765.53
15901099,690.79
15912097,618.30
15924099,524.61
15935097,453.86
15946099,375.29
15957097,294.98
15968098,208.94
15979097,175.04
15991099,138.02
16002097,59.10
16013099,52.50
16024097,48.85
16035098,27.64
16046097,64.49
16058098,47.28
16069097,16.34
16080098,-9.39
16091097,-12.86
16102099,-15.64
16113097,7.82
16125099,18.95
16136097,30.94
16147098,49.37
16158097,48.67
16169098,4.35
16180097,8.17
16192098,35.81
16203097,30.25
16214098,41.02
16225097,24.51
16236098,51.80
16247097,67.27
16259099,64.84
16270097,38.42
16281098,40.68
16292097,45.19
16303098,33.55
16314097,33.55
16326099,41.37
16337097,26.60
16348098,50.58
16359097,49.71
16370098,28.68
16381097,33.37
16393099,56.49
16404097,44.67
16415098,49.89
16426097,45.37
16437098,36.33
16448097,30.94
16460098,48.50
16471097,50.58
16482098,40.15
16493097,25.73
16504099,45.37
16515097,39.63
16527099,17.38
16538097,20.16
16549099,6.61
16560097,30.77
16571098,29.72
16582097,28.51
16594099,39.63
16605097,18.60
16616098,10.95
16627097,31.29
16638098,41.20
16649097,5.74
16661098,-10.95
16672097,-4.52
16683098,-14.25
16694097,-2.09
16705098,5.74
16716097,8.34
16728098,25.90
16739097,9.73
16750098,-0.17
16761097,3.65
16772098,-8.52
16783097,3.65
16795098,18.08
16806097,-18.77
16817098,-18.08
16828097,37.72
16839099,21.90
16850097,2.78
16862099,17.56
16873097,30.77
16884098,23.64
16895097,16.86
16906098,40.33
16917097,63.45
16929098,28.16
16940097,10.60
16951098,25.90
16962097,35.29
16973099,10.60
16984097,32.16
16996099,53.19
17007097,39.28
17018099,44.85
17029097,46.24
17040098,35.63
17052097,11.12
17063098,30.59
17074097,38.24
17085098,9.91
17096097,27.99
17107098,30.42
17119097,47.28
17130099,60.84
17141097,62.75
17152098,46.59
17163097,63.62
17174099,50.76
17186097,59.10
17197099,41.37
17208097,48.85
17219098,47.63
17230097,46.41
17241099,44.67
17253097,30.25
17264098,17.90
17275097,32.68
17286098,20.69
17297097,43.46
17308098,45.72
17320097,16.17
17331098,3.13
17342097,-2.78
17353098,27.99
17364097,23.81
17375098,7.30
17387097,-7.13
17398099,10.08
17409097,22.25
17420098,27.81
17431097,37.03
17442098,36.85
17454097,-13.38
17465098,-5.39
17476097,5.21
17487098,9.56
17498097,13.56
17509099,11.47
17521097,47.45
17532098,40.33
17543097,11.65
17554099,22.60
17565097,26.07
17576098,7.47
17588097,11.30
17599099,23.12
17610097,-17.90
17621098,-12.34
17632097,5.74
17643099,11.99
17655097,21.38
17666099,-1.74
17677097,-18.77
17688098,-13.73
17699097,6.95
17710098,46.59
17722097,61.71
17733098,33.20
17744097,30.42
17755098,40.85
17766097,23.12
17777098,31.29
17789097,43.80
17800099,34.42
17811097,38.42
17822098,54.76
17833097,51.28
17844098,30.77
17856097,11.99
17867098,25.20
17878097,35.81
17889098,38.07
17900097,39.46
17911098,49.54
17923097,65.36
17934098,35.46
17945097,44.15
17956098,35.98
17967097,36.85
17978099,53.89
17990097,25.03
18001098,-6.43
18012097,-14.95
18023099,8.00
18034097,27.12
18045099,15.99
18057097,23.12
18068098,38.07
18079097,34.42
18090099,34.24
18101097,14.43
18112098,13.04
18124097,27.12
18135099,43.80
18146097,37.03
18157098,30.07
18168097,30.94
18179098,36.50
18191097,48.15
18202098,63.79
18213097,38.42
18224099,31.64
18235097,42.59
18247098,71.10
18258097,61.53
18269098,40.68
18280097,31.98
18291099,21.21
18302097,23.99
18314099,16.34
18325097,45.37
18336098,58.93
18347097,37.03
18358098,3.13
18369097,17.73
18381099,45.37
18392097,29.72
18403098,-1.22
18414097,30.07
18425098,31.29
18436097,-14.43
18448098,5.56
18459097,12.69
18470098,-3.30
18481097,-4.35
18492098,29.03
18503097,10.26
18515098,49.19
18526097,58.06
18537098,31.81
18548097,25.90
18559098,28.33
18570097,38.42
18582099,22.60
18593097,35.29
18604099,53.54
18615097,34.07
18626099,20.51
18637097,50.76
18649098,58.58
18660097,48.32
